Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),Conso_1pt (KWh),Région
2022-05-20,24,Spring,période 22,Normal Day,14209.174424,313.0155779544907,Centre-Val de Loire
2022-05-20,32,Spring,période 22,Normal Day,28574.370181,328.44855302400265,Hauts-de-France
2022-05-21,24,Spring,période 22,Week-end,14196.800462,298.3640216644739,Centre-Val de Loire
2022-05-21,32,Spring,période 22,Week-end,28571.123581,312.37350934011306,Hauts-de-France
2022-05-22,24,Spring,période 22,Week-end,14185.535688,286.0880450976894,Centre-Val de Loire
2022-05-22,32,Spring,période 22,Week-end,28573.757855,306.32172308766485,Hauts-de-France
2022-05-23,24,Spring,période 22,Normal Day,14112.503755,292.46749947962275,Centre-Val de Loire
2022-05-23,32,Spring,période 22,Normal Day,28409.309351,308.6216943141334,Hauts-de-France
2022-05-24,24,Spring,période 22,Normal Day,14101.876709,299.4006277622402,Centre-Val de Loire
2022-05-24,32,Spring,période 22,Normal Day,28364.072739,316.488162110075,Hauts-de-France
2022-05-25,24,Spring,période 22,Normal Day,14324.899528,302.6796309918522,Centre-Val de Loire
2022-05-25,32,Spring,période 22,Normal Day,28749.510485,318.91883015268877,Hauts-de-France
2022-05-26,24,Spring,période 22,National Holidays,14111.335193,294.9420269365074,Centre-Val de Loire
2022-05-26,32,Spring,période 22,National Holidays,28293.091548,310.09934074271143,Hauts-de-France
2022-05-27,24,Spring,période 22,Normal Day,14115.620023,290.68991093979827,Centre-Val de Loire
2022-05-27,32,Spring,période 22,Normal Day,28340.872311,306.1736173546041,Hauts-de-France
2022-05-28,24,Spring,période 22,Week-end,14104.295465,290.41291286646003,Centre-Val de Loire
2022-05-28,32,Spring,période 22,Week-end,28214.411877,305.9827908267739,Hauts-de-France
2022-05-29,24,Spring,période 22,Week-end,14238.433538,282.842091454679,Centre-Val de Loire
2022-05-29,32,Spring,période 22,Week-end,28497.061294,301.4409748666997,Hauts-de-France
2022-05-30,24,Spring,période 22,Normal Day,14418.654642,298.85423435667,Centre-Val de Loire
