Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,TEMPERATURE_NIGHT_C,Rain,Season-modified,Day_type_mod
2022-05-05,24,Spring,période 22,Normal Day,16120.103865,2022-05-05,19.5,8.333333333333334,9.0,8.333333333333334,17.833333333333332,18.83333333333333,0.1166666666666666,90.83333333333331,9.979166666666666,1026.0,41.895833333333336,19.5,11.833333333333334,7.666666666666667,115.5,116.5,136.0,0.0,4.666666666666667,12.916666666666666,9.333333333333334,Rain,1,0
2022-05-06,24,Spring,période 22,Normal Day,15985.294767,2022-05-06,19.33333333333333,7.333333333333333,14.666666666666666,7.333333333333333,18.166666666666668,18.33333333333333,0.0833333333333333,94.5,9.0,1026.5,40.9375,19.83333333333333,12.833333333333334,5.333333333333333,129.5,116.0,135.5,0.0,4.5,13.283333333333331,7.5,Rain,1,0
2022-05-07,24,Spring,période 22,Week-end,15622.688755,2022-05-07,19.666666666666668,9.5,9.666666666666666,9.5,18.33333333333333,19.166666666666668,0.7166666666666667,84.16666666666667,9.708333333333334,1025.5,51.395833333333336,19.666666666666668,12.833333333333334,8.666666666666666,124.0,117.5,155.0,0.0,5.0,11.9,10.0,Rain,1,1
2022-05-08,24,Spring,période 22,National Holidays,15355.922968,2022-05-08,20.0,9.333333333333334,17.333333333333332,9.333333333333334,18.666666666666668,19.0,0.05,95.83333333333331,7.916666666666667,1024.8333333333333,41.10416666666666,21.0,13.0,7.833333333333333,155.5,116.0,126.5,0.0,4.333333333333333,12.416666666666666,9.833333333333334,Rain,1,3
2022-05-09,24,Spring,période 22,Normal Day,14875.194994,2022-05-09,23.0,9.833333333333334,10.0,9.833333333333334,21.166666666666668,22.83333333333333,0.0,94.5,8.5,1025.6666666666667,18.4375,25.0,14.0,8.666666666666666,133.0,113.5,114.0,0.0,4.666666666666667,14.333333333333334,10.333333333333334,No rain,1,0
2022-05-10,24,Spring,période 22,Normal Day,14436.772001,2022-05-10,24.666666666666668,13.0,17.166666666666668,13.166666666666666,22.666666666666668,24.166666666666668,0.0,87.0,10.0,1022.5,24.125,25.666666666666668,16.0,12.5,116.5,115.0,113.0,0.0,5.833333333333333,14.333333333333334,13.333333333333334,No rain,1,0
2022-05-11,24,Spring,période 22,Normal Day,14479.577769,2022-05-11,25.166666666666668,11.333333333333334,19.33333333333333,11.333333333333334,23.83333333333333,23.0,0.0333333333333333,88.5,10.0,1018.1666666666666,12.916666666666666,26.166666666666668,15.333333333333334,10.5,113.0,113.0,114.5,0.0,5.833333333333333,13.983333333333334,12.333333333333334,Rain,1,0
2022-05-12,24,Spring,période 22,Normal Day,14353.399895,2022-05-12,21.166666666666668,9.833333333333334,8.333333333333334,9.833333333333334,19.0,19.83333333333333,0.0499999999999999,96.33333333333331,7.8125,1021.0,52.3125,22.33333333333333,13.5,9.5,178.0,116.0,116.5,0.0,4.666666666666667,12.633333333333333,10.5,Rain,1,0
2022-05-13,24,Spring,période 22,Normal Day,14400.905746,2022-05-13,22.0,9.0,8.5,9.0,19.83333333333333,21.5,0.0,87.33333333333333,10.0,1023.0,13.0625,23.83333333333333,12.166666666666666,7.833333333333333,113.0,114.5,113.0,0.0,5.0,14.333333333333334,9.666666666666666,No rain,1,0
2022-05-14,24,Spring,période 22,Week-end,14494.655471,2022-05-14,25.83333333333333,10.5,11.5,10.5,22.83333333333333,24.83333333333333,0.0,88.66666666666667,9.833333333333334,1022.1666666666666,10.5,26.83333333333333,16.666666666666668,9.333333333333334,113.0,113.0,113.0,0.0,5.666666666666667,14.5,10.666666666666666,No rain,1,1
